Dong_name,code_dong,return_day,rent_day,rental_stop,large_store,company,hospital,restaurant,park,cafe,house,bank,car,school,bus_stop,bus_geton_people,bus_getoff_people,subway_station,subway_geton_people,subway_getoff_people,M_child,M_teenager,M_20,M_30,M_40,M_50,M_60,M_over70,W_child,W_teenager,W_20,W_30,W_40,W_50,W_60,W_over70,M_sum,W_sum
가락1동,11710631,42.58,42.35,7,2.0,2988.0,5.0,287.0,0.0,13.0,9716.0,8.0,42080.0,3.0,9,481.9166666666667,468.35,2.0,5893.355,6220.325,23515.48,24330.13,33753.19,59091.99,61042.0,54941.07,39279.78,25572.03,21462.96,26269.89,37340.87,63199.29,53669.2,56419.0,46770.79,33483.47,321525.67,338615.47000000003
가락2동,11710632,47.42,46.97,5,6.0,1901.0,44.0,144.0,1.0,43.0,10424.0,5.0,77543.0,3.0,22,261.4668181818182,226.715,2.0,5360.42,5483.065,25077.51,42193.78,39292.13,48313.11,50043.06,45654.23,36486.47,27235.7,27266.29,37623.89,43008.96,53467.95,61379.82,59961.07,47852.46,40968.07,314295.99,371528.51
가락본동,11710620,29.9,31.0,6,2.0,3489.0,44.0,1986.0,0.0,68.0,8410.0,9.0,83856.0,4.0,22,358.7113636363636,339.9609090909091,1.0,2918.03,2832.87,31127.56,34899.93,59187.15,87857.31,83753.81,75218.79,47993.64,29118.88,28307.03,33042.97,67452.62,81496.19,76617.26,78745.07,55112.75,39906.06,449157.07,460679.95
가리봉동,11530595,27.84,28.74,1,0.0,993.0,8.0,326.0,0.0,10.0,2551.0,0.0,19644.0,1.0,9,637.0388888888888,750.6555555555556,0.0,0.0,0.0,2528.81,3374.13,24824.91,35310.47,30776.48,29022.18,16501.66,9796.51,1628.15,3141.69,24724.62,23998.43,17637.52,21234.31,14367.82,15249.66,152135.15000000002,121982.2
가산동,11545510,43.42,43.35,19,7.0,16661.0,57.0,2419.0,0.0,183.0,6200.0,26.0,134465.0,0.0,100,280.8064999999999,257.2033,3.0,20195.666666666668,21089.7,11830.58,14937.14,156814.59,228349.3,192426.07,127858.95,56961.42,25773.79,11959.29,16029.77,163080.66,141960.79,92089.7,75059.8,42315.15,28966.7,814951.84,571461.86
가양1동,11500603,86.13,84.16,39,5.0,5790.0,48.0,1645.0,1.0,200.0,7921.0,13.0,158131.0,3.0,59,182.8028813559322,177.68525423728812,2.0,3587.905,3664.74,31744.97,34466.09,90580.57,153124.95,129794.71,83507.29,50805.38,30425.05,27042.81,32426.86,128138.86,132299.75,84939.29,70422.0,49780.93,41748.91,604449.01,566799.4099999999
가양2동,11500604,119.9,117.77,3,0.0,633.0,45.0,154.0,1.0,12.0,7085.0,2.0,29210.0,2.0,12,138.96916666666667,136.68999999999997,0.0,0.0,0.0,5645.12,8924.45,16189.0,31747.88,25737.01,24102.72,26691.17,24453.4,6891.93,7067.37,23425.53,33401.45,21784.11,30036.86,31056.32,40668.28,163490.75,194331.85
가양3동,11500605,74.45,72.77,4,0.0,904.0,14.0,141.0,0.0,7.0,7454.0,0.0,39352.0,3.0,13,181.4492307692308,185.64615384615385,0.0,0.0,0.0,7344.63,5763.02,12994.24,29663.14,25261.08,19279.57,15173.44,13608.62,3761.63,4933.17,17906.56,31527.4,18676.84,21131.95,18983.14,25125.46,129087.74,142046.15000000002
가회동,11110600,25.26,26.32,4,0.0,765.0,10.0,323.0,0.0,63.0,1601.0,4.0,9304.0,4.0,22,126.74772727272726,162.90045454545452,0.0,0.0,0.0,2961.85,8009.96,9742.11,16411.53,17892.26,13552.91,5672.05,5557.59,3783.93,5612.96,10542.17,12441.07,14470.26,11341.39,7262.0,9729.84,79800.26,75183.62
갈현1동,11380551,20.1,21.42,3,4.0,1498.0,66.0,857.0,1.0,29.0,7330.0,1.0,41106.0,0.0,43,224.9262790697674,224.5518604651164,2.0,14931.03,14090.13,14317.4,23312.63,44283.09,40334.04,40558.53,38976.67,30463.69,28067.4,12904.63,23066.15,48865.77,39809.33,42749.64,52605.82,41969.44,48025.16,260313.44999999998,309995.94
